canal_preferido,categoria_favorita,regiao,marca_preferida,influenciador,frequencia_compra,pagamento,genero,ticket_medio,qtd_itens,data_nascimento
app,bebidas,nordeste,marca_37,influencer_028,quinzenal,boleto,nao_informado,109.28769917794918,5,13/12/1976
parceiros,limpeza,centro_oeste,marca_12,influencer_106,trimestral,credito,outro,104.78265329402173,6,06/04/1998
parceiros,mercearia,norte,marca_34,influencer_069,semanal,boleto,feminino,90.06583918240807,3,16/11/1981
whatsapp,limpeza,sudeste,marca_37,influencer_005,bimestral,boleto,masculino,80.89431491858312,4,15/07/1987
ecommerce,higiene,centro_oeste,marca_34,influencer_084,trimestral,boleto,feminino,175.5803119291266,3,21/05/1961
app,mercearia,sudeste,marca_10,influencer_060,bimestral,debito,nao_informado,84.5388681393851,4,17/03/1990
parceiros,mercearia,nordeste,marca_43,influencer_102,semanal,debito,nao_informado,108.9540776492656,3,21/09/1972
loja_fisica,snacks,nordeste,marca_04,influencer_081,quinzenal,carteira_digital,outro,118.43687577135333,0,06/10/1974
loja_fisica,laticinios,norte,marca_35,influencer_000,semanal,pix,outro,148.25121340125176,3,04/03/2002
app,mercearia,sudeste,marca_26,influencer_024,mensal,pix,feminino,85.92678635214487,4,16/06/1992
loja_fisica,laticinios,sudeste,marca_14,influencer_030,trimestral,carteira_digital,outro,159.12272086001093,5,28/11/1984
ecommerce,laticinios,norte,marca_48,influencer_084,quinzenal,credito,masculino,96.81334553786887,3,12/12/1984
ecommerce,laticinios,sudeste,marca_10,influencer_060,semanal,debito,nao_informado,113.52411322974338,7,21/06/2000
loja_fisica,mercearia,nordeste,marca_55,influencer_089,quinzenal,boleto,nao_informado,185.7239434263928,8,28/11/1987
ecommerce,limpeza,norte,marca_53,influencer_061,mensal,boleto,outro,81.23089147605326,2,03/11/1966
whatsapp,bebidas,norte,marca_21,influencer_039,mensal,carteira_digital,outro,148.836188497627,2,02/04/1983
loja_fisica,limpeza,sudeste,marca_18,influencer_012,semanal,boleto,masculino,160.18443472238198,12,19/06/1988
app,mercearia,sul,marca_08,influencer_024,bimestral,debito,outro,132.39591208961298,4,24/02/1957
app,limpeza,centro_oeste,marca_54,influencer_047,semanal,debito,outro,115.29876711259305,3,19/01/1962
ecommerce,laticinios,nordeste,marca_37,influencer_066,bimestral,credito,outro,205.02816140328667,4,28/08/1980
loja_fisica,bebidas,sudeste,marca_01,influencer_112,quinzenal,carteira_digital,feminino,119.44618422322574,1,02/01/1985
parceiros,higiene,sudeste,marca_30,influencer_028,semanal,credito,outro,128.1631000013121,0,16/04/1957
loja_fisica,higiene,sul,marca_04,influencer_079,bimestral,pix,outro,106.53892904489886,1,20/03/1979
ecommerce,higiene,centro_oeste,marca_34,influencer_018,bimestral,debito,nao_informado,126.04327429518884,3,20/04/1963
app,bebidas,sul,marca_30,influencer_085,mensal,credito,feminino,158.56471914825818,7,01/03/1990
app,bebidas,sudeste,marca_04,influencer_001,bimestral,debito,outro,108.98778636355291,8,04/07/1980
whatsapp,mercearia,nordeste,marca_48,influencer_078,mensal,boleto,nao_informado,35.65878154945102,5,28/10/1959
ecommerce,higiene,sudeste,marca_15,influencer_019,quinzenal,credito,nao_informado,140.54280731267283,3,10/07/1976
whatsapp,bebidas,sul,marca_32,influencer_021,trimestral,carteira_digital,outro,76.86662235564745,4,06/10/2004
whatsapp,bebidas,centro_oeste,marca_38,influencer_066,trimestral,carteira_digital,masculino,149.6750576783669,2,06/07/1957
ecommerce,higiene,norte,marca_57,influencer_044,semanal,credito,nao_informado,119.94701073093186,3,05/09/1976
whatsapp,bebidas,sudeste,marca_29,influencer_056,trimestral,carteira_digital,feminino,157.72436413246064,8,17/04/1962
loja_fisica,mercearia,nordeste,marca_55,influencer_036,bimestral,debito,feminino,82.06624928331155,6,15/04/2002
loja_fisica,mercearia,sudeste,marca_21,influencer_114,semanal,credito,feminino,98.59115184662693,3,27/02/1979
parceiros,snacks,sudeste,marca_51,influencer_034,mensal,debito,feminino,106.39855896026597,2,14/07/1988
loja_fisica,limpeza,nordeste,marca_13,influencer_064,semanal,boleto,feminino,60.70871189531619,4,01/03/2006
loja_fisica,bebidas,nordeste,marca_42,influencer_102,mensal,boleto,masculino,164.45680834861514,4,15/08/1957
app,snacks,norte,marca_05,influencer_079,trimestral,debito,masculino,54.98308335554674,4,14/09/1980
app,laticinios,centro_oeste,marca_59,influencer_038,quinzenal,boleto,nao_informado,163.89254471912707,2,10/11/1958
parceiros,limpeza,sul,marca_57,influencer_066,mensal,boleto,feminino,136.9759391469463,4,21/06/1995
app,laticinios,centro_oeste,marca_26,influencer_009,semanal,boleto,masculino,112.04530670628587,5,27/12/1986
app,snacks,nordeste,marca_31,influencer_065,mensal,pix,masculino,133.80464594539117,6,13/06/1978
loja_fisica,snacks,sul,marca_35,influencer_051,bimestral,carteira_digital,masculino,132.70933153321292,4,21/09/1970
parceiros,higiene,centro_oeste,marca_16,influencer_090,semanal,boleto,masculino,103.98288353687917,3,16/12/1965
ecommerce,higiene,sudeste,marca_40,influencer_101,mensal,credito,outro,131.9259925743921,4,21/07/2003
loja_fisica,laticinios,nordeste,marca_41,influencer_023,quinzenal,carteira_digital,nao_informado,149.2473331406803,6,13/12/1956
whatsapp,bebidas,norte,marca_31,influencer_009,bimestral,debito,feminino,82.21269200715932,5,08/07/1961
parceiros,laticinios,sul,marca_08,influencer_046,bimestral,boleto,nao_informado,133.84779809358304,0,17/01/1974
parceiros,laticinios,centro_oeste,marca_55,influencer_063,bimestral,boleto,masculino,14.946996150109499,4,11/06/1975
loja_fisica,limpeza,sul,marca_06,influencer_045,quinzenal,debito,nao_informado,42.81600400399755,5,02/10/2003
loja_fisica,snacks,centro_oeste,marca_37,influencer_075,mensal,credito,outro,142.5810660622572,3,21/08/1971
app,higiene,sudeste,marca_05,influencer_060,bimestral,boleto,masculino,103.28683072623198,6,16/03/1972
loja_fisica,snacks,sudeste,marca_08,influencer_112,bimestral,carteira_digital,masculino,85.86247310025925,1,18/04/1967
loja_fisica,mercearia,sul,marca_00,influencer_048,mensal,carteira_digital,nao_informado,117.87898105772211,2,15/09/1974
ecommerce,higiene,centro_oeste,marca_21,influencer_009,trimestral,boleto,masculino,104.16193380503098,6,25/10/1969
parceiros,laticinios,sudeste,marca_38,influencer_036,quinzenal,credito,masculino,80.45568808748078,0,06/03/1991
parceiros,limpeza,centro_oeste,marca_31,influencer_072,semanal,debito,nao_informado,54.43803952266789,6,03/06/1997
parceiros,higiene,sudeste,marca_40,influencer_030,trimestral,boleto,nao_informado,41.273701170657375,8,15/02/1994
loja_fisica,mercearia,nordeste,marca_40,influencer_032,semanal,debito,masculino,149.55169541039422,3,25/04/1997
ecommerce,higiene,sul,marca_08,influencer_040,trimestral,boleto,outro,103.10001790090726,0,13/12/1987
app,laticinios,sudeste,marca_03,influencer_089,mensal,debito,masculino,158.78197255739673,2,12/01/1991
whatsapp,bebidas,centro_oeste,marca_37,influencer_112,trimestral,credito,feminino,102.69399341587754,4,17/07/1972
whatsapp,laticinios,nordeste,marca_39,influencer_041,mensal,pix,nao_informado,134.198798100135,7,10/06/2007
whatsapp,mercearia,norte,marca_33,influencer_023,trimestral,pix,nao_informado,114.9838223506188,5,16/05/2005
whatsapp,laticinios,nordeste,marca_14,influencer_050,bimestral,boleto,nao_informado,121.77786915436386,1,28/11/1958
loja_fisica,higiene,nordeste,marca_48,influencer_042,mensal,debito,nao_informado,123.72147242443889,3,12/11/1973
ecommerce,mercearia,nordeste,marca_04,influencer_118,quinzenal,carteira_digital,nao_informado,102.17172972674086,3,14/01/1991
parceiros,snacks,centro_oeste,marca_37,influencer_055,semanal,pix,outro,70.81513948482129,5,22/04/1970
ecommerce,mercearia,norte,marca_07,influencer_081,quinzenal,boleto,nao_informado,150.64526982294814,4,19/03/1982
app,bebidas,nordeste,marca_39,influencer_109,trimestral,pix,feminino,183.74187168768222,3,11/01/1999
parceiros,snacks,norte,marca_24,influencer_075,quinzenal,debito,outro,186.36861639896094,2,15/07/2001
whatsapp,higiene,nordeste,marca_43,influencer_029,bimestral,boleto,masculino,97.86920355728085,5,14/05/2004
app,snacks,nordeste,marca_02,influencer_072,mensal,pix,nao_informado,90.67316968117314,2,12/05/1989
parceiros,higiene,norte,marca_33,influencer_048,quinzenal,pix,masculino,97.8287020865869,5,12/09/2005
app,mercearia,nordeste,marca_08,influencer_050,trimestral,boleto,feminino,112.96650391424834,0,01/12/1989
parceiros,snacks,norte,marca_40,influencer_117,semanal,credito,nao_informado,117.9015614349478,0,14/08/1983
app,mercearia,centro_oeste,marca_06,influencer_033,mensal,carteira_digital,nao_informado,80.08286166970782,3,09/08/1965
ecommerce,bebidas,centro_oeste,marca_04,influencer_056,mensal,debito,masculino,60.810566138183816,5,23/06/2001
parceiros,mercearia,centro_oeste,marca_42,influencer_018,semanal,credito,feminino,121.9976922602959,3,18/05/1968
parceiros,mercearia,nordeste,marca_03,influencer_021,semanal,boleto,outro,10.0,2,20/07/1964
loja_fisica,higiene,norte,marca_13,influencer_072,bimestral,credito,outro,115.97372722736762,4,08/04/1995
ecommerce,mercearia,sudeste,marca_49,influencer_090,semanal,carteira_digital,feminino,82.21009566355738,3,02/07/2002
app,laticinios,nordeste,marca_48,influencer_076,bimestral,debito,masculino,151.20618106451366,2,11/05/2006
whatsapp,mercearia,sul,marca_51,influencer_039,bimestral,debito,feminino,161.90539508420585,1,14/05/1995
loja_fisica,higiene,sudeste,marca_19,influencer_006,semanal,credito,feminino,162.84983040991736,3,13/11/2005
ecommerce,higiene,centro_oeste,marca_31,influencer_056,quinzenal,credito,masculino,106.1421247483745,2,04/01/1976
loja_fisica,mercearia,centro_oeste,marca_46,influencer_060,semanal,credito,outro,74.59423952146355,6,06/10/1960
loja_fisica,snacks,nordeste,marca_08,influencer_092,bimestral,credito,nao_informado,87.41630732533525,6,21/02/1967
app,mercearia,sul,marca_43,influencer_076,mensal,debito,feminino,131.504427327256,3,26/05/1963
parceiros,snacks,norte,marca_05,influencer_104,semanal,debito,feminino,54.16542099835239,3,28/09/1995
ecommerce,mercearia,nordeste,marca_54,influencer_093,mensal,pix,masculino,175.74197957856146,5,15/11/1977
parceiros,bebidas,norte,marca_38,influencer_043,mensal,credito,feminino,106.77479872810666,2,18/10/1977
loja_fisica,bebidas,centro_oeste,marca_29,influencer_075,bimestral,credito,feminino,140.00694689771737,4,17/09/2003
ecommerce,laticinios,sul,marca_28,influencer_089,semanal,credito,feminino,48.74295545052637,5,11/05/2006
whatsapp,laticinios,sul,marca_10,influencer_114,semanal,credito,nao_informado,82.96071896966602,5,10/05/1962
whatsapp,laticinios,sul,marca_20,influencer_050,quinzenal,debito,feminino,43.772834173744826,1,03/04/2000
app,laticinios,sudeste,marca_43,influencer_077,bimestral,credito,nao_informado,160.8475797520461,5,02/11/1988
whatsapp,higiene,sul,marca_32,influencer_046,bimestral,debito,outro,113.59181040499922,3,10/08/1996
parceiros,snacks,sudeste,marca_31,influencer_088,quinzenal,carteira_digital,feminino,142.85219813744945,7,11/01/2005
whatsapp,bebidas,sudeste,marca_11,influencer_109,semanal,debito,feminino,122.53654729320303,4,15/01/1972
app,higiene,sul,marca_41,influencer_110,bimestral,credito,outro,138.73900215649442,5,28/02/1997
whatsapp,snacks,sudeste,marca_23,influencer_018,semanal,boleto,feminino,106.50232558365893,3,25/07/1992
app,laticinios,norte,marca_10,influencer_024,mensal,pix,feminino,111.85817642104374,0,06/12/1989
whatsapp,bebidas,sudeste,marca_56,influencer_090,quinzenal,credito,outro,116.33070324763031,1,15/06/1995
app,bebidas,centro_oeste,marca_30,influencer_075,quinzenal,boleto,nao_informado,136.22526619708913,3,16/03/1995
loja_fisica,snacks,sudeste,marca_31,influencer_108,mensal,boleto,outro,137.2847368487211,4,28/06/1976
whatsapp,bebidas,sudeste,marca_58,influencer_037,semanal,carteira_digital,feminino,232.45747536029376,3,12/09/2004
parceiros,snacks,sudeste,marca_21,influencer_101,mensal,carteira_digital,feminino,187.26408509518427,2,11/01/1960
parceiros,limpeza,norte,marca_56,influencer_081,semanal,pix,masculino,48.84964856441452,4,22/08/1964
whatsapp,snacks,sul,marca_41,influencer_023,quinzenal,boleto,masculino,114.27578088290979,4,01/12/1993
app,limpeza,nordeste,marca_37,influencer_014,mensal,debito,nao_informado,103.76416638938011,7,03/12/1979
app,laticinios,sudeste,marca_13,influencer_084,semanal,carteira_digital,masculino,171.2052192324,7,18/03/1970
ecommerce,limpeza,centro_oeste,marca_02,influencer_018,mensal,pix,feminino,107.37008149595137,0,10/12/1982
whatsapp,mercearia,sudeste,marca_26,influencer_095,bimestral,debito,masculino,138.57155509786662,2,07/02/1962
whatsapp,higiene,sul,marca_00,influencer_066,trimestral,credito,masculino,26.517534788795217,9,24/06/1955
ecommerce,bebidas,centro_oeste,marca_04,influencer_057,semanal,pix,feminino,59.455967544268844,5,07/05/1957
loja_fisica,snacks,sul,marca_35,influencer_032,semanal,pix,nao_informado,203.69172716409844,5,01/09/2002
loja_fisica,laticinios,sul,marca_43,influencer_118,quinzenal,carteira_digital,feminino,122.00977592832987,9,01/10/1972
whatsapp,limpeza,norte,marca_09,influencer_086,trimestral,credito,outro,80.06159906123925,1,26/08/2002
parceiros,snacks,sul,marca_43,influencer_093,quinzenal,carteira_digital,masculino,129.71483484890155,3,15/10/1982
app,higiene,sudeste,marca_56,influencer_092,quinzenal,credito,masculino,77.8776418618994,3,01/12/1971
parceiros,mercearia,sul,marca_44,influencer_069,bimestral,pix,outro,108.66505832417268,1,07/07/1957
app,limpeza,sudeste,marca_47,influencer_112,semanal,debito,outro,61.895282430239405,3,10/07/1960
ecommerce,limpeza,centro_oeste,marca_41,influencer_069,mensal,debito,feminino,88.45115128826278,2,28/07/1984
whatsapp,laticinios,norte,marca_13,influencer_062,mensal,pix,feminino,103.34653242165491,4,16/04/1987
loja_fisica,limpeza,nordeste,marca_21,influencer_032,bimestral,credito,outro,164.82797257346846,3,24/06/2002
parceiros,limpeza,sudeste,marca_56,influencer_033,bimestral,credito,nao_informado,138.56184030732638,3,13/07/1965
whatsapp,bebidas,norte,marca_39,influencer_088,quinzenal,boleto,masculino,145.54096143768373,3,21/01/1986
app,bebidas,norte,marca_47,influencer_040,bimestral,credito,masculino,118.96901394544079,6,02/05/1959
app,laticinios,sudeste,marca_58,influencer_087,mensal,boleto,masculino,152.91396393478342,5,10/04/1982
loja_fisica,limpeza,centro_oeste,marca_13,influencer_114,semanal,boleto,outro,85.05922922627036,5,13/08/1964
ecommerce,higiene,nordeste,marca_19,influencer_052,trimestral,credito,nao_informado,90.69176220073314,6,03/05/1967
loja_fisica,limpeza,norte,marca_38,influencer_011,bimestral,carteira_digital,feminino,136.3036428582752,4,08/02/1977
loja_fisica,bebidas,sul,marca_01,influencer_079,trimestral,boleto,masculino,108.83410439891294,5,19/07/1978
whatsapp,mercearia,sudeste,marca_34,influencer_000,bimestral,boleto,masculino,119.44616606548678,7,20/06/1961
whatsapp,snacks,norte,marca_48,influencer_094,quinzenal,boleto,nao_informado,113.43458888341618,3,01/08/1986
whatsapp,mercearia,norte,marca_36,influencer_062,mensal,pix,outro,170.1380165824591,4,08/09/1976
app,limpeza,sul,marca_17,influencer_058,quinzenal,carteira_digital,nao_informado,172.22211730715492,0,13/12/2000
whatsapp,snacks,sudeste,marca_43,influencer_068,semanal,credito,outro,94.9533695774501,5,08/08/1987
whatsapp,bebidas,centro_oeste,marca_08,influencer_061,quinzenal,credito,masculino,49.60522612437073,4,02/07/2001
loja_fisica,mercearia,sudeste,marca_53,influencer_038,quinzenal,boleto,nao_informado,91.54012396449437,4,02/04/1955
loja_fisica,bebidas,sul,marca_05,influencer_033,semanal,debito,feminino,84.12159413728168,6,16/09/1978
whatsapp,bebidas,norte,marca_51,influencer_049,trimestral,pix,masculino,153.26993363196294,4,11/05/1999
app,mercearia,sudeste,marca_29,influencer_107,semanal,debito,feminino,156.81989907097832,3,16/12/1964
loja_fisica,snacks,sudeste,marca_25,influencer_016,mensal,debito,outro,78.75703267848087,4,20/09/1966
parceiros,higiene,sudeste,marca_29,influencer_038,bimestral,carteira_digital,masculino,89.81980965780605,4,15/04/1992
whatsapp,snacks,centro_oeste,marca_11,influencer_022,mensal,credito,feminino,60.8395565097958,1,16/12/1955
loja_fisica,laticinios,sul,marca_27,influencer_051,semanal,credito,outro,125.3751409409104,2,21/06/2005
ecommerce,snacks,norte,marca_50,influencer_015,mensal,boleto,outro,118.20334290330362,0,06/08/2004
app,snacks,centro_oeste,marca_48,influencer_091,bimestral,boleto,feminino,151.56487269755712,5,07/09/2005
whatsapp,snacks,norte,marca_09,influencer_012,trimestral,carteira_digital,masculino,139.88525178237728,5,21/08/1996
loja_fisica,snacks,nordeste,marca_40,influencer_079,quinzenal,credito,outro,144.40811884224726,3,07/07/2007
app,snacks,nordeste,marca_51,influencer_031,semanal,carteira_digital,masculino,58.31991840857049,3,25/09/2006
ecommerce,bebidas,sul,marca_49,influencer_056,mensal,pix,masculino,94.9469585363097,4,12/11/1968
app,bebidas,nordeste,marca_25,influencer_023,semanal,carteira_digital,masculino,157.95589218972813,5,03/02/1963
ecommerce,higiene,centro_oeste,marca_02,influencer_087,bimestral,credito,feminino,98.45695526149422,2,20/07/1999
parceiros,laticinios,norte,marca_55,influencer_113,bimestral,debito,nao_informado,54.897365021238315,3,12/08/1979
ecommerce,bebidas,sul,marca_23,influencer_026,bimestral,pix,outro,152.31958319486625,3,04/12/1957
ecommerce,snacks,sul,marca_21,influencer_114,trimestral,pix,feminino,96.90940019942373,10,06/07/1978
app,laticinios,centro_oeste,marca_45,influencer_038,mensal,credito,outro,162.50547974507512,6,25/02/1955
loja_fisica,laticinios,sudeste,marca_15,influencer_066,trimestral,pix,nao_informado,119.26341116638754,3,13/10/1985
loja_fisica,limpeza,centro_oeste,marca_50,influencer_084,bimestral,boleto,nao_informado,108.9112222839569,3,08/10/1990
ecommerce,snacks,sul,marca_04,influencer_023,semanal,debito,masculino,174.5276356449347,3,16/11/1957
whatsapp,higiene,norte,marca_44,influencer_053,bimestral,pix,masculino,67.89377523451319,8,04/03/1961
whatsapp,snacks,norte,marca_57,influencer_007,bimestral,debito,nao_informado,177.36884718524357,3,11/02/2002
app,bebidas,nordeste,marca_59,influencer_083,trimestral,carteira_digital,nao_informado,94.42576017816309,3,17/01/1975
ecommerce,higiene,sudeste,marca_55,influencer_049,quinzenal,pix,masculino,126.4947944126404,10,27/06/1957
ecommerce,limpeza,centro_oeste,marca_52,influencer_106,quinzenal,pix,feminino,126.87280781702322,2,08/02/1955
loja_fisica,snacks,sul,marca_16,influencer_032,trimestral,carteira_digital,feminino,102.91520705750017,3,24/10/1976
parceiros,limpeza,sul,marca_57,influencer_110,semanal,boleto,feminino,89.51549239692238,1,12/07/1959
app,snacks,nordeste,marca_55,influencer_016,bimestral,debito,masculino,105.20711244139443,6,25/04/1962
whatsapp,snacks,nordeste,marca_31,influencer_072,mensal,boleto,masculino,79.41749264828803,3,02/04/1966
parceiros,mercearia,norte,marca_23,influencer_036,semanal,carteira_digital,feminino,198.4784257179212,2,04/06/1992
ecommerce,laticinios,sudeste,marca_06,influencer_021,semanal,credito,outro,100.75476117251115,4,14/02/1984
app,snacks,nordeste,marca_35,influencer_011,trimestral,boleto,outro,166.3578901771977,2,23/05/1996
parceiros,limpeza,centro_oeste,marca_41,influencer_078,semanal,credito,masculino,161.08691834305256,3,09/08/1972
loja_fisica,snacks,sudeste,marca_24,influencer_027,bimestral,carteira_digital,masculino,134.5171895582745,5,04/06/1959
ecommerce,bebidas,nordeste,marca_24,influencer_068,bimestral,boleto,feminino,114.57283863734877,4,05/06/1984
loja_fisica,mercearia,norte,marca_34,influencer_117,bimestral,carteira_digital,masculino,127.75127388321523,6,09/10/2006
loja_fisica,bebidas,centro_oeste,marca_01,influencer_037,quinzenal,boleto,outro,142.88679069016663,7,11/05/1989
loja_fisica,higiene,nordeste,marca_57,influencer_003,semanal,credito,feminino,124.01873842386195,5,17/02/1967
parceiros,higiene,centro_oeste,marca_17,influencer_016,bimestral,pix,outro,57.33004037425461,2,22/07/1955
whatsapp,bebidas,sudeste,marca_08,influencer_014,semanal,carteira_digital,masculino,47.26754734999574,3,04/03/1959
ecommerce,bebidas,sul,marca_00,influencer_055,quinzenal,credito,outro,180.3595289524709,5,22/11/1999
ecommerce,snacks,centro_oeste,marca_51,influencer_089,trimestral,credito,outro,14.611443871381198,4,28/02/1970
app,laticinios,centro_oeste,marca_51,influencer_035,quinzenal,boleto,nao_informado,127.82740614507406,2,11/09/1958
whatsapp,limpeza,nordeste,marca_05,influencer_017,quinzenal,pix,outro,110.60087942026333,4,06/06/1972
parceiros,higiene,nordeste,marca_08,influencer_076,trimestral,credito,feminino,126.43204583416397,5,28/06/2001
ecommerce,bebidas,nordeste,marca_26,influencer_035,semanal,debito,masculino,74.4013303506385,7,26/11/1977
app,limpeza,sudeste,marca_10,influencer_068,semanal,debito,feminino,134.02709951736492,5,04/10/2006
loja_fisica,bebidas,centro_oeste,marca_44,influencer_112,mensal,boleto,outro,128.2406573670029,2,24/03/1981
ecommerce,limpeza,centro_oeste,marca_03,influencer_034,bimestral,pix,outro,230.4404698911902,4,24/11/2002
app,mercearia,nordeste,marca_32,influencer_061,trimestral,pix,feminino,125.19920186069385,7,09/04/1965
parceiros,higiene,sul,marca_22,influencer_096,bimestral,boleto,nao_informado,173.92940427312556,5,28/05/1983
whatsapp,snacks,sul,marca_27,influencer_082,trimestral,debito,masculino,60.05257298207829,10,06/10/1980
parceiros,bebidas,sudeste,marca_25,influencer_090,semanal,boleto,masculino,160.8038127218152,2,17/02/1995
whatsapp,bebidas,norte,marca_08,influencer_092,bimestral,debito,nao_informado,129.05093211827383,8,20/05/1962
ecommerce,higiene,nordeste,marca_13,influencer_064,semanal,debito,feminino,130.7895473611234,7,02/02/1964
ecommerce,laticinios,sudeste,marca_03,influencer_064,trimestral,pix,masculino,131.34274173841519,0,26/07/1966
ecommerce,snacks,norte,marca_06,influencer_086,trimestral,boleto,nao_informado,188.25352685238556,2,26/08/2004
loja_fisica,limpeza,centro_oeste,marca_58,influencer_083,quinzenal,carteira_digital,nao_informado,130.2041786289029,5,11/07/2002
app,mercearia,sudeste,marca_16,influencer_080,trimestral,debito,feminino,88.63511803256918,6,13/12/1956
ecommerce,bebidas,nordeste,marca_18,influencer_045,bimestral,credito,masculino,95.36247842914217,4,11/09/1977
parceiros,bebidas,nordeste,marca_07,influencer_099,semanal,pix,masculino,152.68509975458824,4,05/01/1984
whatsapp,snacks,sudeste,marca_45,influencer_028,mensal,pix,nao_informado,137.89821832880517,5,25/03/2002
whatsapp,limpeza,nordeste,marca_55,influencer_018,trimestral,credito,outro,58.78105351891926,4,25/06/1979
parceiros,higiene,nordeste,marca_47,influencer_041,quinzenal,carteira_digital,masculino,140.5856729543722,1,17/06/1995
parceiros,mercearia,sudeste,marca_36,influencer_030,semanal,boleto,outro,76.70630572773243,4,12/03/1997
app,laticinios,sudeste,marca_48,influencer_079,trimestral,pix,outro,137.53032079056368,7,19/07/1982
whatsapp,mercearia,centro_oeste,marca_24,influencer_027,quinzenal,pix,outro,87.77783845925637,1,14/07/1994
app,laticinios,sul,marca_51,influencer_078,mensal,credito,nao_informado,108.74073061302425,4,22/06/1958
app,mercearia,norte,marca_47,influencer_061,bimestral,pix,feminino,98.20766168842157,4,16/11/1972
whatsapp,laticinios,norte,marca_00,influencer_018,mensal,pix,outro,180.75651932941537,5,05/05/2000
loja_fisica,mercearia,centro_oeste,marca_29,influencer_030,quinzenal,carteira_digital,feminino,136.0739100124008,7,26/10/1963
parceiros,mercearia,norte,marca_15,influencer_062,semanal,pix,masculino,170.4445200922932,2,12/09/1982
loja_fisica,mercearia,centro_oeste,marca_04,influencer_087,trimestral,credito,feminino,235.80850253851528,3,15/12/1997
whatsapp,laticinios,norte,marca_50,influencer_047,mensal,credito,feminino,121.8722136771976,2,19/08/1982
app,higiene,nordeste,marca_00,influencer_027,bimestral,credito,feminino,180.07960745204895,8,25/06/2006
parceiros,limpeza,sul,marca_43,influencer_035,trimestral,carteira_digital,outro,92.02177337628812,5,12/01/2000
parceiros,higiene,sul,marca_59,influencer_011,semanal,boleto,feminino,170.1951243971751,6,05/08/1960
loja_fisica,laticinios,sul,marca_28,influencer_002,trimestral,carteira_digital,masculino,87.69964610283083,1,03/07/1983
app,higiene,sudeste,marca_22,influencer_116,bimestral,carteira_digital,outro,119.26339473841519,4,18/11/1993
loja_fisica,mercearia,sul,marca_36,influencer_011,trimestral,credito,masculino,141.4751062734036,6,12/08/1994
loja_fisica,mercearia,sul,marca_48,influencer_014,semanal,boleto,masculino,147.76924920229106,4,15/09/1982
ecommerce,laticinios,sudeste,marca_14,influencer_104,quinzenal,boleto,outro,69.09793431495649,4,24/11/1976
loja_fisica,snacks,sul,marca_14,influencer_079,bimestral,credito,outro,85.31912304568823,2,10/12/1971
parceiros,mercearia,norte,marca_36,influencer_052,trimestral,pix,nao_informado,144.45800315083582,4,19/03/1973
parceiros,mercearia,nordeste,marca_56,influencer_077,trimestral,boleto,feminino,105.291337471476,3,06/03/1955
ecommerce,laticinios,norte,marca_17,influencer_112,quinzenal,carteira_digital,nao_informado,64.10605964554485,3,20/10/2000
loja_fisica,laticinios,nordeste,marca_22,influencer_011,mensal,credito,outro,117.16093061970443,3,02/02/1993
loja_fisica,limpeza,centro_oeste,marca_59,influencer_029,semanal,carteira_digital,outro,115.24113975504915,3,06/10/1970
ecommerce,limpeza,norte,marca_10,influencer_103,bimestral,carteira_digital,masculino,127.07659925235612,3,08/02/1961
loja_fisica,bebidas,sudeste,marca_04,influencer_093,trimestral,carteira_digital,outro,141.169652837892,3,06/05/1982
whatsapp,laticinios,centro_oeste,marca_35,influencer_119,bimestral,credito,nao_informado,138.62605436333416,5,20/11/2000
loja_fisica,snacks,sudeste,marca_01,influencer_037,quinzenal,credito,masculino,89.27307621965628,3,12/02/2007
ecommerce,mercearia,nordeste,marca_10,influencer_113,trimestral,boleto,masculino,103.56686125148703,3,08/01/1969
ecommerce,mercearia,norte,marca_37,influencer_041,semanal,debito,masculino,157.11154773151307,3,08/10/1978
ecommerce,higiene,sul,marca_39,influencer_085,mensal,credito,outro,98.2726053182781,2,21/10/1986
loja_fisica,snacks,nordeste,marca_30,influencer_105,mensal,boleto,feminino,104.19631765363754,3,16/10/1986
loja_fisica,bebidas,sul,marca_22,influencer_020,mensal,credito,nao_informado,59.82923678975284,5,25/06/1970
app,laticinios,sudeste,marca_34,influencer_024,bimestral,pix,masculino,118.85278119595057,1,15/10/1998
loja_fisica,higiene,sudeste,marca_38,influencer_069,mensal,carteira_digital,outro,133.81081859042217,4,20/09/1992
parceiros,bebidas,sudeste,marca_48,influencer_101,semanal,pix,feminino,40.9802712621223,2,26/05/1999
parceiros,mercearia,sudeste,marca_47,influencer_009,semanal,carteira_digital,outro,77.18998473627553,4,23/09/1961
ecommerce,snacks,nordeste,marca_39,influencer_102,mensal,debito,feminino,63.130890580264904,3,22/03/1990
parceiros,laticinios,nordeste,marca_53,influencer_041,bimestral,debito,outro,151.53408948134972,4,17/06/1973
whatsapp,snacks,nordeste,marca_50,influencer_048,mensal,credito,nao_informado,43.50594906213135,1,25/10/1995
app,snacks,norte,marca_07,influencer_040,quinzenal,debito,feminino,116.8526161154926,5,27/02/1981
ecommerce,bebidas,sudeste,marca_57,influencer_109,semanal,debito,outro,148.71448619782197,7,04/06/1982
ecommerce,higiene,sul,marca_53,influencer_015,bimestral,carteira_digital,feminino,127.51286596477405,8,22/08/1986
ecommerce,higiene,norte,marca_19,influencer_068,mensal,carteira_digital,outro,102.40165346244193,9,01/08/1966
